 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,points
33,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,69,255,0,255,255,255,677.99275362,152.07971014,677.99275362,152.07971014,36.62741700,674,145,9,13,13.28928081,6.61085651,103.79323616,0.64631818,13.92838828,17595,255,NaN,NaN,100,17595,676,145,111.03751103,8.53814968,2.01022073,0.49745781,0.77528090,0
34,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,84,255,0,255,255,255,151.32142857,154.72619048,151.32142857,154.72619048,48.42640687,146,148,12,15,12.06306631,8.86608089,67.02665322,0.45011621,15.52417470,21420,255,NaN,NaN,100,21420,148,163,75.06858282,10.95498812,1.36058609,0.73497738,0.68016194,1
35,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,116,255,0,255,255,255,444.65517241,163.02586207,444.65517241,163.02586207,38.87005769,439,156,12,13,13.34747875,11.06544464,128.99724163,0.96480042,14.31782106,29580,255,NaN,NaN,100,29580,442,156,114.77514057,11.86920590,1.20623067,0.82902883,0.92063492,1
36,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,54,255,0,255,255,255,1110.62962963,166.01851852,1110.62962963,166.01851852,31.79898987,1105,162,11,8,11.86159951,5.79643035,32.71402299,0.67108414,13.03840481,13770,255,NaN,NaN,100,13770,1105,169,32.47119229,6.93375245,2.04636281,0.48867190,0.83720930,0
37,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,212,255,0,255,255,255,849.78301887,180.21226415,849.78301887,180.21226415,66.08326112,841,172,18,18,17.06993376,15.81299536,136.02857940,0.61004629,20.12461180,54060,255,NaN,NaN,100,54060,845,172,116.56505118,16.44384383,1.07948769,0.92636536,0.87242798,1
38,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,432,255,0,255,255,255,1034.33564815,191.28703704,1034.33564815,191.28703704,83.39696962,1021,179,27,25,28.35712305,19.39687190,40.05521359,0.78053624,28.42534081,110160,255,NaN,NaN,100,110160,1023,200,39.28940686,19.79898987,1.46194310,0.68402115,0.90947368,1
39,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,72,255,0,255,255,255,333.18055556,201.88888889,333.18055556,201.88888889,39.45584412,329,193,8,16,14.63562022,6.26370771,74.52895901,0.58119207,16.76305461,18360,255,NaN,NaN,100,18360,331,209,72.64597536,7.24211819,2.33657458,0.42797692,0.81818182,1
40,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,110,255,0,255,255,255,1167.58181818,201.14545455,1167.58181818,201.14545455,43.35533906,1160,194,15,14,16.08078988,8.70954418,44.20344335,0.73538942,17.00000000,28050,255,NaN,NaN,100,28050,1160,204,28.07248694,9.89949494,1.84634116,0.54161171,0.86274510,1
41,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,167,255,0,255,255,255,101.51796407,211.94311377,101.51796407,211.94311377,72.91168825,91,202,23,23,29.79811764,7.13571933,43.82273649,0.39475899,31.82766093,42585,255,NaN,NaN,100,42585,91,225,46.27303002,8.95257638,4.17590943,0.23946880,0.73893805,1
42,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,114,255,0,255,255,255,788.94736842,212.10526316,788.94736842,212.10526316,43.21320344,783,205,11,15,15.22559430,9.53324417,87.60090515,0.76715265,15.81138830,29070,255,NaN,NaN,100,29070,787,220,71.56505118,11.00000000,1.59710525,0.62613281,0.85393258,1
43,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,72,255,0,255,255,255,160.44444444,215.84722222,160.44444444,215.84722222,34.28427125,155,210,11,12,12.17437127,7.53001902,55.80856147,0.76975499,13.03840481,18360,255,NaN,NaN,100,18360,156,221,57.52880771,8.48528137,1.61677829,0.61851400,0.81818182,1
44,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,82,255,0,255,255,255,591.82926829,219.47560976,591.82926829,219.47560976,32.62741700,587,214,10,11,10.97001266,9.51736757,99.69269206,0.96796205,11.70469991,20910,255,NaN,NaN,100,20910,590,214,109.98310652,10.00000000,1.15263097,0.86758036,0.90109890,0
45,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,71,255,0,255,255,255,301.86619718,240.03521127,301.86619718,240.03521127,31.79898987,297,235,10,10,11.77349557,7.67826404,129.31787190,0.88235137,12.72792206,18105,255,NaN,NaN,100,18105,298,235,135.00000000,8.32050294,1.53335383,0.65216520,0.89873418,1
46,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,59,255,0,255,255,255,482.99152542,241.60169492,482.99152542,241.60169492,36.87005769,478,236,12,10,10.95677339,6.85613642,153.99282798,0.54539888,13.00000000,15045,255,NaN,NaN,100,15045,478,239,157.38013505,8.58955690,1.59809734,0.62574411,0.71084337,1
47,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,99,255,0,255,255,255,413.26767677,262.79292929,413.26767677,262.79292929,39.45584412,407,258,13,10,13.21736133,9.53675335,6.20948851,0.79913910,13.60147051,25245,255,NaN,NaN,100,25245,407,259,162.89727103,10.00000000,1.38593931,0.72153232,0.88000000,1
48,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,81,255,0,255,255,255,924.33950617,265.74691358,924.33950617,265.74691358,36.04163056,920,260,9,13,13.20086261,7.81255030,69.35460151,0.78358483,14.31782106,20655,255,NaN,NaN,100,20655,922,273,65.22485943,8.72768089,1.68969954,0.59182120,0.87567568,1
49,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,48,255,0,255,255,255,1174.56250000,265.39583333,1174.56250000,265.39583333,26.38477631,1170,261,8,9,9.29830666,6.57275570,123.83246054,0.86645152,10.29563014,12240,255,NaN,NaN,100,12240,1173,261,119.05460410,7.77817459,1.41467401,0.70687663,0.87272727,1
50,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,75,255,0,255,255,255,1108.31333333,267.07333333,1108.31333333,267.07333333,31.79898987,1103,262,10,10,10.14860756,9.40946482,134.60743834,0.93206131,11.40175425,19125,255,NaN,NaN,100,19125,1104,263,127.87498365,10.00000000,1.07855311,0.92716806,0.89285714,1
51,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,81,255,0,255,255,255,847.42592593,278.09259259,847.42592593,278.09259259,37.21320344,843,271,8,15,13.79515149,7.47598917,99.13483650,0.73502273,15.13274595,20655,255,NaN,NaN,100,20655,847,271,97.59464337,8.00000000,1.84526103,0.54192875,0.85714286,1
